N;T;Pc;Pm;Selection;Crossover;bestFitness;Time(ms);worstFitness
50;200;0.800;0.001;Roulette;TwoPoint;13507183;9;12457021
50;200;0.800;0.001;Roulette;TwoPoint;13616719;7;11113810
50;200;0.800;0.001;Roulette;TwoPoint;13584745;8;11081558
50;200;0.800;0.010;Tournament;OnePoint;13692887;7;11592036
50;200;0.800;0.010;Tournament;OnePoint;13692887;7;11592036
50;200;0.800;0.010;Tournament;OnePoint;13607769;7;11506918
50;200;0.800;0.010;Tournament;OnePoint;13683217;6;11615013
50;200;0.800;0.010;Tournament;OnePoint;13692887;7;12006372
50;200;0.800;0.010;Roulette;OnePoint;13683217;14;8836600
50;200;0.800;0.010;Roulette;OnePoint;13471207;13;8556660
50;200;0.800;0.010;Roulette;OnePoint;13604045;12;10740284
50;200;0.800;0.010;Roulette;OnePoint;13500918;11;9877322
50;200;0.800;0.010;Roulette;OnePoint;13692887;11;10176211
50;200;0.800;0.010;Tournament;TwoPoint;13692887;6;11592036
50;200;0.800;0.010;Tournament;TwoPoint;13692887;7;11592036
50;200;0.800;0.010;Tournament;TwoPoint;13692887;8;11592036
50;200;0.800;0.010;Tournament;TwoPoint;13656377;9;9734611
50;200;0.800;0.010;Tournament;TwoPoint;13683937;9;11583086
50;200;0.800;0.010;Roulette;TwoPoint;13603593;11;9146620
50;200;0.800;0.010;Roulette;TwoPoint;13692887;13;7557376
50;200;0.800;0.010;Roulette;TwoPoint;13585527;13;9829659
50;200;0.800;0.010;Roulette;TwoPoint;13683217;11;9948559
50;200;0.800;0.010;Roulette;TwoPoint;13534953;11;7737331
50;200;0.800;0.020;Tournament;OnePoint;13692887;10;11486679
50;200;0.800;0.020;Tournament;OnePoint;13692887;10;10594088
50;200;0.800;0.020;Tournament;OnePoint;13692887;9;11271908
50;200;0.800;0.020;Tournament;OnePoint;13656377;9;10439040
50;200;0.800;0.020;Tournament;OnePoint;13656377;9;11388534
50;200;0.800;0.020;Roulette;OnePoint;13585527;11;7991786
50;200;0.800;0.020;Roulette;OnePoint;13447607;12;5552115
50;200;0.800;0.020;Roulette;OnePoint;13458324;12;7363824
50;200;0.800;0.020;Roulette;OnePoint;13555009;12;9357436
50;200;0.800;0.020;Roulette;OnePoint;13476665;12;7708188
50;200;0.800;0.020;Tournament;TwoPoint;13656377;10;11588173
50;200;0.800;0.020;Tournament;TwoPoint;13692887;13;9660130
50;200;0.800;0.020;Tournament;TwoPoint;13692887;13;11592036
50;200;0.800;0.020;Tournament;TwoPoint;13692887;12;9905521
50;200;0.800;0.020;Tournament;TwoPoint;13692887;12;8242475
50;200;0.800;0.020;Roulette;TwoPoint;13575857;15;6837498
50;200;0.800;0.020;Roulette;TwoPoint;13692887;12;7042922
50;200;0.800;0.020;Roulette;TwoPoint;13482174;12;7794724
50;200;0.800;0.020;Roulette;TwoPoint;13692887;13;9110731
50;200;0.800;0.020;Roulette;TwoPoint;13515314;13;4018299
50;200;0.800;0.050;Tournament;OnePoint;13692887;13;11260173
50;200;0.800;0.050;Tournament;OnePoint;13692887;14;5607337
50;200;0.800;0.050;Tournament;OnePoint;13692887;14;8346051
50;200;0.800;0.050;Tournament;OnePoint;13692887;15;7837317
50;200;0.800;0.050;Tournament;OnePoint;13692887;14;8550434
50;200;0.800;0.050;Roulette;OnePoint;13442982;10;4680021
50;200;0.800;0.050;Roulette;OnePoint;13402868;20;5629923
50;200;0.800;0.050;Roulette;OnePoint;13674267;17;8189431
50;200;0.800;0.050;Roulette;OnePoint;13563308;14;6702156
50;200;0.800;0.050;Roulette;OnePoint;13653419;14;3571986
50;200;0.800;0.050;Tournament;TwoPoint;13692887;10;9827177
50;200;0.800;0.050;Tournament;TwoPoint;13692887;9;9141412
50;200;0.800;0.050;Tournament;TwoPoint;13692887;8;9069070
50;200;0.800;0.050;Tournament;TwoPoint;13692887;9;9681460
50;200;0.800;0.050;Tournament;TwoPoint;13692887;9;8997587
50;200;0.800;0.050;Roulette;TwoPoint;13338375;12;5647326
50;200;0.800;0.050;Roulette;TwoPoint;13583988;9;6174961
50;200;0.800;0.050;Roulette;TwoPoint;13624111;14;6829507
50;200;0.800;0.050;Roulette;TwoPoint;13502655;14;6164411
50;200;0.800;0.050;Roulette;TwoPoint;13654201;14;7251932
50;200;0.800;0.100;Tournament;OnePoint;13470315;10;9588045
50;200;0.800;0.100;Tournament;OnePoint;13674267;10;6146270
50;200;0.800;0.100;Tournament;OnePoint;13548864;12;7914081
50;200;0.800;0.100;Tournament;OnePoint;13564321;14;7649359
50;200;0.800;0.100;Tournament;OnePoint;13586093;12;6812708
50;200;0.800;0.100;Roulette;OnePoint;13405725;18;6887415
50;200;0.800;0.100;Roulette;OnePoint;13605593;16;6463678
50;200;0.800;0.100;Roulette;OnePoint;13401459;14;3683068
50;200;0.800;0.100;Roulette;OnePoint;13486335;15;7870169
50;200;0.800;0.100;Roulette;OnePoint;13567473;15;6348222
50;200;0.800;0.100;Tournament;TwoPoint;13484335;14;9197480
50;200;0.800;0.100;Tournament;TwoPoint;13555009;14;8670265
50;200;0.800;0.100;Tournament;TwoPoint;13614543;13;9444594
50;200;0.800;0.100;Tournament;TwoPoint;13683217;12;8761632
50;200;0.800;0.100;Tournament;TwoPoint;13692887;13;7291288
50;200;0.800;0.100;Roulette;TwoPoint;13491029;15;6247136
50;200;0.800;0.100;Roulette;TwoPoint;13575143;12;6849506
50;200;0.800;0.100;Roulette;TwoPoint;13501794;14;5127579
50;200;0.800;0.100;Roulette;TwoPoint;13386187;13;6526666
50;200;0.800;0.100;Roulette;TwoPoint;13461990;15;6174216
50;200;0.900;0.001;Tournament;OnePoint;13692887;16;13692887
50;200;0.900;0.001;Tournament;OnePoint;13563140;11;11462289
50;200;0.900;0.001;Tournament;OnePoint;13654201;10;11585997
50;200;0.900;0.001;Tournament;OnePoint;13576033;10;13576033
50;200;0.900;0.001;Tournament;OnePoint;13654201;10;13654201
50;200;0.900;0.001;Roulette;OnePoint;13498631;8;13114517
50;200;0.900;0.001;Roulette;OnePoint;13654201;11;11585997
50;200;0.900;0.001;Roulette;OnePoint;13531935;12;11766307
50;200;0.900;0.001;Roulette;OnePoint;13507183;13;10928375
50;200;0.900;0.001;Roulette;OnePoint;13484335;12;12826839
50;200;0.900;0.001;Tournament;TwoPoint;13683217;7;13683217
50;200;0.900;0.001;Tournament;TwoPoint;13692887;6;13692887
50;200;0.900;0.001;Tournament;TwoPoint;13683217;6;11615013
